model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,20,50,50,sgd,0.001,0.005,0.005,0.7948,0.7796,0.8686,0.7768,0.7664,0.8485
LR,20,50,50,sgd,0.005,0.005,0.005,0.8026,0.7897,0.8791,0.7841,0.7756,0.8592
LR,20,50,50,adagrad,0.001,0.005,0.005,0.7311,0.7012,0.7716,0.7165,0.6952,0.7568
LR,20,50,50,adagrad,0.005,0.005,0.005,0.7942,0.7869,0.8722,0.7678,0.7656,0.8544
LR,20,50,50,RMSprop,0.001,0.005,0.005,0.8045,0.7932,0.8822,0.7862,0.7788,0.8623
LR,20,50,50,RMSprop,0.005,0.005,0.005,0.8005,0.7893,0.8800,0.7834,0.7792,0.8595
LR,20,50,50,adam,0.001,0.005,0.005,0.8063,0.7904,0.8825,0.7879,0.7752,0.8623
LR,20,50,50,adam,0.005,0.005,0.005,0.8027,0.7945,0.8814,0.7869,0.7840,0.8617
FM,20,50,50,sgd,0.001,0.005,0.005,0.9293,0.9283,0.9799,0.8971,0.8992,0.9684
FM,20,50,50,sgd,0.005,0.005,0.005,0.9140,0.9124,0.9697,0.8884,0.8884,0.9595
FM,20,50,50,adagrad,0.001,0.005,0.005,0.9165,0.9148,0.9725,0.8901,0.8904,0.9602
FM,20,50,50,adagrad,0.005,0.005,0.005,0.9140,0.9140,0.9709,0.8887,0.8916,0.9622
FM,20,50,50,RMSprop,0.001,0.005,0.005,0.9214,0.9205,0.9742,0.8926,0.8944,0.9641
FM,20,50,50,RMSprop,0.005,0.005,0.005,0.9162,0.9163,0.9716,0.8969,0.9000,0.9609
FM,20,50,50,adam,0.001,0.005,0.005,0.9229,0.9225,0.9753,0.9007,0.9028,0.9660
FM,20,50,50,adam,0.005,0.005,0.005,0.9189,0.9180,0.9735,0.8956,0.8972,0.9644
FFM,20,50,50,sgd,0.001,0.005,0.005,0.8659,0.8625,0.9355,0.8459,0.8452,0.9206
FFM,20,50,50,sgd,0.005,0.005,0.005,0.8843,0.8828,0.9517,0.8573,0.8584,0.9359
