model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,20,20,50,sgd,0.001,0.005,0.005,0.8332,0.8215,0.9043,0.8419,0.8324,0.9162
LR,20,20,50,sgd,0.005,0.005,0.005,0.8383,0.8281,0.9085,0.8478,0.8396,0.9189
LR,20,20,50,adagrad,0.001,0.005,0.005,0.5291,0.4445,0.4123,0.5196,0.4276,0.3988
LR,20,20,50,adagrad,0.005,0.005,0.005,0.8354,0.8268,0.9053,0.8416,0.8316,0.9154
LR,20,20,50,RMSprop,0.001,0.005,0.005,0.8396,0.8292,0.9102,0.8472,0.8384,0.9202
LR,20,20,50,RMSprop,0.005,0.005,0.005,0.8432,0.8316,0.9125,0.8519,0.8424,0.9223
LR,20,20,50,adam,0.001,0.005,0.005,0.8371,0.8251,0.9094,0.8446,0.834,0.9193
LR,20,20,50,adam,0.005,0.005,0.005,0.8423,0.8313,0.9119,0.8539,0.8448,0.9221
FFM,20,20,50,sgd,0.001,0.005,0.005,0.8521,0.848,0.928,0.8571,0.8532,0.9341
FFM,20,20,50,sgd,0.005,0.005,0.005,0.8703,0.8676,0.9407,0.8718,0.87,0.9459
FFM,20,20,50,adagrad,0.001,0.005,0.005,0.8358,0.8283,0.9147,0.8432,0.8364,0.9169
FFM,20,20,50,adagrad,0.005,0.005,0.005,0.8805,0.8781,0.9503,0.8827,0.8812,0.9525
FFM,20,20,50,RMSprop,0.001,0.005,0.005,0.8821,0.8785,0.9505,0.8849,0.882,0.9532
FFM,20,20,50,RMSprop,0.005,0.005,0.005,0.8886,0.8871,0.9535,0.8949,0.894,0.9561
FFM,20,20,50,adam,0.001,0.005,0.005,0.8897,0.8868,0.9536,0.8942,0.8916,0.9561
FFM,20,20,50,adam,0.005,0.005,0.005,0.8905,0.8879,0.9533,0.8878,0.886,0.9551
